Country/territory of asylum/residence,Origin,"Country/territory of asylum (earlier) (only applicable for returned refugees)",Type of population,Population,of whom assisted by UNHCR
Azerbaijan,Russian Federation,,Total Refugee and people in refugee-like situations,488,488
Azerbaijan,Russian Federation,,Asylum-seekers,40,40
Azerbaijan,Russian Federation,,Total population of concern,528,528
Azerbaijan,Somalia,,Asylum-seekers,0,0
Azerbaijan,Somalia,,Total population of concern,0,0
Azerbaijan,Stateless,,Persons under UNHCR's statelessness mandate,3585,100
Azerbaijan,Stateless,,Total population of concern,3585,100
Azerbaijan,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,15,15
Azerbaijan,Syrian Arab Rep.,,Asylum-seekers,16,16
Azerbaijan,Syrian Arab Rep.,,Total population of concern,31,31
Azerbaijan,Turkey,,Asylum-seekers,98,98
Azerbaijan,Turkey,,Total population of concern,98,98
Azerbaijan,Ukraine,,Total Refugee and people in refugee-like situations,9,9
Azerbaijan,Ukraine,,Asylum-seekers,0,0
Azerbaijan,Ukraine,,Total population of concern,10,10
Azerbaijan,Yemen,,Total Refugee and people in refugee-like situations,0,0
Azerbaijan,Yemen,,Asylum-seekers,10,10
Azerbaijan,Yemen,,Total population of concern,14,14
Bahamas,China,,Total Refugee and people in refugee-like situations,0,0
Bahamas,China,,Total population of concern,0,0
Bahamas,Cuba,,Total Refugee and people in refugee-like situations,10,10
Bahamas,Cuba,,Asylum-seekers,15,15
Bahamas,Cuba,,Total population of concern,25,25
Bahamas,Eritrea,,Total Refugee and people in refugee-like situations,0,0
Bahamas,Eritrea,,Total population of concern,0,0
Bahamas,Gambia,,Asylum-seekers,0,0
Bahamas,Gambia,,Total population of concern,0,0
Bahamas,Haiti,,Asylum-seekers,0,0
Bahamas,Haiti,,Total population of concern,0,0
Bahamas,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,0,0
Bahamas,Iran (Islamic Rep. of),,Total population of concern,0,0
Bahamas,Jamaica,,Asylum-seekers,0,0
Bahamas,Jamaica,,Total population of concern,0,0
Bahamas,Kenya,,Asylum-seekers,0,0
Bahamas,Kenya,,Total population of concern,0,0
Bahamas,Nigeria,,Total Refugee and people in refugee-like situations,0,0
Bahamas,Nigeria,,Total population of concern,0,0
Bahrain,Egypt,,Asylum-seekers,0,0
Bahrain,Egypt,,Total population of concern,0,0
Bahrain,Iraq,,Total Refugee and people in refugee-like situations,252,252
Bahrain,Iraq,,Asylum-seekers,93,93
Bahrain,Iraq,,Total population of concern,345,345
Bahrain,Jordan,,Asylum-seekers,6,6
Bahrain,Jordan,,Total population of concern,6,6
Bahrain,Lebanon,,Asylum-seekers,0,0
Bahrain,Lebanon,,Total population of concern,0,0
Bahrain,Pakistan,,Total Refugee and people in refugee-like situations,0,0
Bahrain,Pakistan,,Total population of concern,0,0
Bahrain,Somalia,,Asylum-seekers,0,0
Bahrain,Somalia,,Total population of concern,0,0
Bahrain,Sudan,,Total Refugee and people in refugee-like situations,0,0
Bahrain,Sudan,,Total population of concern,0,0
Bahrain,Yemen,,Total Refugee and people in refugee-like situations,9,9
Bahrain,Yemen,,Asylum-seekers,0,0
Bahrain,Yemen,,Total population of concern,13,13
Bangladesh,Bangladesh,Russian Federation,Returned refugees,0,0
Bangladesh,Bangladesh,,Total population of concern,0,0
Bangladesh,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,0,0
Bangladesh,Côte d'Ivoire,,Total population of concern,0,0
Bangladesh,Dem. Rep. of the Congo,,Asylum-seekers,0,0
Bangladesh,Dem. Rep. of the Congo,,Total population of concern,0,0
Bangladesh,Iraq,,Total Refugee and people in refugee-like situations,0,0
Bangladesh,Iraq,,Total population of concern,0,0
Bangladesh,Myanmar,,Total Refugee and people in refugee-like situations,307415,33415
Bangladesh,Myanmar,,People in refugee-like situations,274000,0
Bangladesh,Myanmar,,Asylum-seekers,0,0
Bangladesh,Myanmar,,Total population of concern,307416,33416
Bangladesh,Palestinian,,Total Refugee and people in refugee-like situations,0,0
Bangladesh,Palestinian,,Asylum-seekers,0,0
Bangladesh,Palestinian,,Total population of concern,0,0
Bangladesh,Somalia,,Total Refugee and people in refugee-like situations,0,0
Bangladesh,Somalia,,Asylum-seekers,0,0
Bangladesh,Somalia,,Total population of concern,6,6
Bangladesh,Sudan,,Total Refugee and people in refugee-like situations,0,0
Bangladesh,Sudan,,Total population of concern,0,0
Bangladesh,Turkey,,Asylum-seekers,96,96
Bangladesh,Turkey,,Total population of concern,96,96
Bangladesh,Yemen,,Total Refugee and people in refugee-like situations,0,0
Bangladesh,Yemen,,Total population of concern,0,0
Barbados,Belarus,,Asylum-seekers,0,0
Barbados,Belarus,,Total population of concern,0,0
Barbados,Jamaica,,Asylum-seekers,0,0
Barbados,Jamaica,,Total population of concern,0,0
Belarus,Afghanistan,,Total Refugee and people in refugee-like situations,224,80
Belarus,Afghanistan,,Asylum-seekers,0,0
Belarus,Afghanistan,,Total population of concern,225,80
Belarus,Armenia,,Total Refugee and people in refugee-like situations,0,0
Belarus,Armenia,,Total population of concern,0,0
Belarus,Azerbaijan,,Total Refugee and people in refugee-like situations,5,0
Belarus,Azerbaijan,,Total population of concern,5,0
Belarus,Bangladesh,,Asylum-seekers,0,0
Belarus,Bangladesh,,Total population of concern,0,0
Belarus,Canada,,Asylum-seekers,0,0
Belarus,Canada,,Total population of concern,0,0
Belarus,Comoros,,Asylum-seekers,0,0
Belarus,Comoros,,Total population of concern,0,0
Belarus,Croatia,,Asylum-seekers,0,0
Belarus,Croatia,,Total population of concern,0,0
Belarus,Egypt,,Total Refugee and people in refugee-like situations,0,0
Belarus,Egypt,,Asylum-seekers,0,0
Belarus,Egypt,,Total population of concern,6,0
Belarus,Eritrea,,Asylum-seekers,0,0
Belarus,Eritrea,,Total population of concern,0,0
Belarus,Ethiopia,,Total Refugee and people in refugee-like situations,6,0
Belarus,Ethiopia,,Total population of concern,6,0
Belarus,Georgia,,Total Refugee and people in refugee-like situations,59,5
Belarus,Georgia,,Asylum-seekers,0,0
Belarus,Georgia,,Total population of concern,63,7
Belarus,India,,Asylum-seekers,0,0
Belarus,India,,Total population of concern,0,0
Belarus,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,5,5
Belarus,Iran (Islamic Rep. of),,Asylum-seekers,0,0
Belarus,Iran (Islamic Rep. of),,Total population of concern,6,5
Belarus,Iraq,,Total Refugee and people in refugee-like situations,13,10
Belarus,Iraq,,Asylum-seekers,12,12
Belarus,Iraq,,Total population of concern,25,22
Belarus,Kazakhstan,,Total Refugee and people in refugee-like situations,0,0
Belarus,Kazakhstan,,Total population of concern,0,0
Belarus,Kyrgyzstan,,Total Refugee and people in refugee-like situations,0,0
Belarus,Kyrgyzstan,,Total population of concern,0,0
Belarus,Lebanon,,Total Refugee and people in refugee-like situations,0,0
Belarus,Lebanon,,Total population of concern,0,0
Belarus,Liberia,,Total Refugee and people in refugee-like situations,0,0
Belarus,Liberia,,Total population of concern,0,0
Belarus,Libya,,Total Refugee and people in refugee-like situations,9,7
Belarus,Libya,,Total population of concern,9,7
Belarus,Pakistan,,Asylum-seekers,0,0
Belarus,Pakistan,,Total population of concern,0,0
Belarus,Palestinian,,Total Refugee and people in refugee-like situations,0,0
Belarus,Palestinian,,Asylum-seekers,0,0
Belarus,Palestinian,,Total population of concern,0,0
Belarus,Rep. of Moldova,,Asylum-seekers,0,0
Belarus,Rep. of Moldova,,Total population of concern,0,0
Belarus,Russian Federation,,Asylum-seekers,12,12
Belarus,Russian Federation,,Total population of concern,12,12
Belarus,Rwanda,,Total Refugee and people in refugee-like situations,0,0
Belarus,Rwanda,,Total population of concern,0,0
Belarus,Somalia,,Total Refugee and people in refugee-like situations,0,0
Belarus,Somalia,,Total population of concern,0,0
Belarus,Stateless,,Persons under UNHCR's statelessness mandate,5915,0
Belarus,Stateless,,Total population of concern,5915,0
Belarus,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,87,37
Belarus,Syrian Arab Rep.,,Asylum-seekers,7,6
Belarus,Syrian Arab Rep.,,Total population of concern,94,43
Belarus,Tajikistan,,Total Refugee and people in refugee-like situations,12,0
Belarus,Tajikistan,,Asylum-seekers,0,0
Belarus,Tajikistan,,Total population of concern,13,0
Belarus,Turkey,,Asylum-seekers,0,0
Belarus,Turkey,,Total population of concern,0,0
Belarus,Ukraine,,Total Refugee and people in refugee-like situations,1456,407
Belarus,Ukraine,,Asylum-seekers,57,22
Belarus,Ukraine,,Total population of concern,1513,429
Belarus,United States of America,,Asylum-seekers,0,0
Belarus,United States of America,,Total population of concern,0,0
Belarus,Yemen,,Total Refugee and people in refugee-like situations,36,22
Belarus,Yemen,,Asylum-seekers,0,0
Belarus,Yemen,,Total population of concern,39,25
Belgium,Afghanistan,,Total Refugee and people in refugee-like situations,3201,0
Belgium,Afghanistan,,Asylum-seekers,6457,0
Belgium,Afghanistan,,Total population of concern,9658,0
Belgium,Albania,,Total Refugee and people in refugee-like situations,534,0
Belgium,Albania,,Asylum-seekers,368,0
Belgium,Albania,,Total population of concern,902,0
Belgium,Algeria,,Total Refugee and people in refugee-like situations,46,0
Belgium,Algeria,,Asylum-seekers,80,0
Belgium,Algeria,,Total population of concern,126,0
Belgium,Angola,,Total Refugee and people in refugee-like situations,91,0
Belgium,Angola,,Asylum-seekers,42,0
Belgium,Angola,,Total population of concern,133,0
Belgium,Argentina,,Asylum-seekers,0,0
Belgium,Argentina,,Total population of concern,0,0
Belgium,Armenia,,Total Refugee and people in refugee-like situations,127,0
Belgium,Armenia,,Asylum-seekers,114,0
Belgium,Armenia,,Total population of concern,241,0
Belgium,Azerbaijan,,Total Refugee and people in refugee-like situations,75,0
Belgium,Azerbaijan,,Asylum-seekers,29,0
Belgium,Azerbaijan,,Total population of concern,104,0
Belgium,Bangladesh,,Total Refugee and people in refugee-like situations,18,0
Belgium,Bangladesh,,Asylum-seekers,28,0
Belgium,Bangladesh,,Total population of concern,46,0
Belgium,Belarus,,Total Refugee and people in refugee-like situations,41,0
Belgium,Belarus,,Asylum-seekers,10,0
Belgium,Belarus,,Total population of concern,51,0
Belgium,Benin,,Total Refugee and people in refugee-like situations,30,0
Belgium,Benin,,Asylum-seekers,26,0
Belgium,Benin,,Total population of concern,56,0
Belgium,Bhutan,,Total Refugee and people in refugee-like situations,0,0
Belgium,Bhutan,,Asylum-seekers,0,0
Belgium,Bhutan,,Total population of concern,0,0
Belgium,Bolivia (Plurinational State of),,Total Refugee and people in refugee-like situations,0,0
Belgium,Bolivia (Plurinational State of),,Total population of concern,0,0
Belgium,Bosnia and Herzegovina,,Total Refugee and people in refugee-like situations,50,0
Belgium,Bosnia and Herzegovina,,Asylum-seekers,9,0
Belgium,Bosnia and Herzegovina,,Total population of concern,59,0
Belgium,Brazil,,Asylum-seekers,0,0
Belgium,Brazil,,Total population of concern,0,0
Belgium,Bulgaria,,Total Refugee and people in refugee-like situations,14,0
Belgium,Bulgaria,,Asylum-seekers,0,0
Belgium,Bulgaria,,Total population of concern,17,0
Belgium,Burkina Faso,,Total Refugee and people in refugee-like situations,76,0
Belgium,Burkina Faso,,Asylum-seekers,56,0
Belgium,Burkina Faso,,Total population of concern,132,0
Belgium,Burundi,,Total Refugee and people in refugee-like situations,454,0
Belgium,Burundi,,Asylum-seekers,376,0
Belgium,Burundi,,Total population of concern,830,0
Belgium,Cambodia,,Total Refugee and people in refugee-like situations,8,0
Belgium,Cambodia,,Asylum-seekers,0,0
Belgium,Cambodia,,Total population of concern,9,0
Belgium,Cameroon,,Total Refugee and people in refugee-like situations,404,0
Belgium,Cameroon,,Asylum-seekers,222,0
Belgium,Cameroon,,Total population of concern,626,0
Belgium,Canada,,Asylum-seekers,0,0
Belgium,Canada,,Total population of concern,0,0
Belgium,Central African Rep.,,Total Refugee and people in refugee-like situations,41,0
Belgium,Central African Rep.,,Asylum-seekers,12,0
Belgium,Central African Rep.,,Total population of concern,53,0
Belgium,Chad,,Total Refugee and people in refugee-like situations,34,0
Belgium,Chad,,Asylum-seekers,19,0
Belgium,Chad,,Total population of concern,53,0
Belgium,Chile,,Total Refugee and people in refugee-like situations,48,0
Belgium,Chile,,Asylum-seekers,6,0
Belgium,Chile,,Total population of concern,54,0
Belgium,China,,Total Refugee and people in refugee-like situations,1197,0
Belgium,China,,Asylum-seekers,149,0
Belgium,China,,Total population of concern,1346,0
Belgium,Colombia,,Total Refugee and people in refugee-like situations,33,0
Belgium,Colombia,,Asylum-seekers,17,0
Belgium,Colombia,,Total population of concern,50,0
Belgium,"Congo, Republic of",,Total Refugee and people in refugee-like situations,31,0
Belgium,"Congo, Republic of",,Asylum-seekers,15,0
Belgium,"Congo, Republic of",,Total population of concern,46,0
Belgium,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,153,0
Belgium,Côte d'Ivoire,,Asylum-seekers,106,0
Belgium,Côte d'Ivoire,,Total population of concern,259,0
Belgium,Croatia,,Total Refugee and people in refugee-like situations,5,0
Belgium,Croatia,,Total population of concern,5,0
Belgium,Cuba,,Total Refugee and people in refugee-like situations,8,0
Belgium,Cuba,,Asylum-seekers,0,0
Belgium,Cuba,,Total population of concern,10,0
Belgium,Czechia,,Total Refugee and people in refugee-like situations,6,0
Belgium,Czechia,,Total population of concern,6,0
Belgium,Dem. People's Rep. of Korea,,Total Refugee and people in refugee-like situations,36,0
Belgium,Dem. People's Rep. of Korea,,Asylum-seekers,0,0
Belgium,Dem. People's Rep. of Korea,,Total population of concern,37,0
Belgium,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,1015,0
Belgium,Dem. Rep. of the Congo,,Asylum-seekers,398,0
Belgium,Dem. Rep. of the Congo,,Total population of concern,1413,0
Belgium,Djibouti,,Total Refugee and people in refugee-like situations,267,0
Belgium,Djibouti,,Asylum-seekers,118,0
Belgium,Djibouti,,Total population of concern,385,0
Belgium,Dominican Rep.,,Total Refugee and people in refugee-like situations,0,0
Belgium,Dominican Rep.,,Total population of concern,0,0
Belgium,Egypt,,Total Refugee and people in refugee-like situations,50,0
Belgium,Egypt,,Asylum-seekers,86,0
Belgium,Egypt,,Total population of concern,136,0
Belgium,El Salvador,,Total Refugee and people in refugee-like situations,7,0
Belgium,El Salvador,,Asylum-seekers,93,0
Belgium,El Salvador,,Total population of concern,100,0
Belgium,Eritrea,,Total Refugee and people in refugee-like situations,1000,0
Belgium,Eritrea,,Asylum-seekers,107,0
Belgium,Eritrea,,Total population of concern,1107,0
Belgium,Ethiopia,,Total Refugee and people in refugee-like situations,121,0
Belgium,Ethiopia,,Asylum-seekers,92,0
Belgium,Ethiopia,,Total population of concern,213,0
Belgium,Fiji,,Asylum-seekers,0,0
Belgium,Fiji,,Total population of concern,0,0
Belgium,France,,Asylum-seekers,0,0
Belgium,France,,Total population of concern,0,0
Belgium,Gabon,,Total Refugee and people in refugee-like situations,16,0
Belgium,Gabon,,Asylum-seekers,0,0
Belgium,Gabon,,Total population of concern,19,0
Belgium,Gambia,,Total Refugee and people in refugee-like situations,15,0
Belgium,Gambia,,Asylum-seekers,31,0
Belgium,Gambia,,Total population of concern,46,0
Belgium,Georgia,,Total Refugee and people in refugee-like situations,49,0
Belgium,Georgia,,Asylum-seekers,77,0
Belgium,Georgia,,Total population of concern,126,0
Belgium,Germany,,Total Refugee and people in refugee-like situations,0,0
Belgium,Germany,,Total population of concern,0,0
Belgium,Ghana,,Total Refugee and people in refugee-like situations,36,0
Belgium,Ghana,,Asylum-seekers,14,0
Belgium,Ghana,,Total population of concern,50,0
Belgium,Guatemala,,Total Refugee and people in refugee-like situations,6,0
Belgium,Guatemala,,Asylum-seekers,9,0
Belgium,Guatemala,,Total population of concern,15,0
Belgium,Guinea,,Total Refugee and people in refugee-like situations,2690,0
Belgium,Guinea,,Asylum-seekers,578,0
Belgium,Guinea,,Total population of concern,3268,0
Belgium,Guinea-Bissau,,Total Refugee and people in refugee-like situations,11,0
Belgium,Guinea-Bissau,,Asylum-seekers,7,0
Belgium,Guinea-Bissau,,Total population of concern,18,0
Belgium,Guyana,,Total Refugee and people in refugee-like situations,0,0
Belgium,Guyana,,Total population of concern,0,0
Belgium,Haiti,,Total Refugee and people in refugee-like situations,0,0
Belgium,Haiti,,Asylum-seekers,8,0
Belgium,Haiti,,Total population of concern,12,0
Belgium,Honduras,,Asylum-seekers,8,0
Belgium,Honduras,,Total population of concern,8,0
Belgium,Hungary,,Total Refugee and people in refugee-like situations,49,0
Belgium,Hungary,,Total population of concern,49,0
Belgium,India,,Total Refugee and people in refugee-like situations,20,0
Belgium,India,,Asylum-seekers,22,0
Belgium,India,,Total population of concern,42,0
Belgium,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,960,0
Belgium,Iran (Islamic Rep. of),,Asylum-seekers,584,0
Belgium,Iran (Islamic Rep. of),,Total population of concern,1544,0
Belgium,Iraq,,Total Refugee and people in refugee-like situations,4000,0
Belgium,Iraq,,Asylum-seekers,2906,0
Belgium,Iraq,,Total population of concern,6906,0
Belgium,Israel,,Total Refugee and people in refugee-like situations,13,0
Belgium,Israel,,Asylum-seekers,8,0
Belgium,Israel,,Total population of concern,21,0
Belgium,Jamaica,,Total Refugee and people in refugee-like situations,0,0
Belgium,Jamaica,,Asylum-seekers,0,0
Belgium,Jamaica,,Total population of concern,0,0
Belgium,Jordan,,Total Refugee and people in refugee-like situations,24,0
Belgium,Jordan,,Asylum-seekers,41,0
Belgium,Jordan,,Total population of concern,65,0
Belgium,Kazakhstan,,Total Refugee and people in refugee-like situations,38,0
Belgium,Kazakhstan,,Asylum-seekers,10,0
Belgium,Kazakhstan,,Total population of concern,48,0
Belgium,Kenya,,Total Refugee and people in refugee-like situations,22,0
Belgium,Kenya,,Asylum-seekers,12,0
Belgium,Kenya,,Total population of concern,34,0
Belgium,Kuwait,,Total Refugee and people in refugee-like situations,7,0
Belgium,Kuwait,,Asylum-seekers,0,0
Belgium,Kuwait,,Total population of concern,8,0
Belgium,Kyrgyzstan,,Total Refugee and people in refugee-like situations,64,0
Belgium,Kyrgyzstan,,Asylum-seekers,29,0
Belgium,Kyrgyzstan,,Total population of concern,93,0
Belgium,Lao People's Dem. Rep.,,Total Refugee and people in refugee-like situations,13,0
Belgium,Lao People's Dem. Rep.,,Total population of concern,13,0
Belgium,Latvia,,Total Refugee and people in refugee-like situations,0,0
Belgium,Latvia,,Total population of concern,0,0
Belgium,Lebanon,,Total Refugee and people in refugee-like situations,99,0
Belgium,Lebanon,,Asylum-seekers,202,0
Belgium,Lebanon,,Total population of concern,301,0
Belgium,Liberia,,Total Refugee and people in refugee-like situations,15,0
Belgium,Liberia,,Asylum-seekers,8,0
Belgium,Liberia,,Total population of concern,23,0
Belgium,Libya,,Total Refugee and people in refugee-like situations,60,0
Belgium,Libya,,Asylum-seekers,43,0
Belgium,Libya,,Total population of concern,103,0
Belgium,Lithuania,,Total Refugee and people in refugee-like situations,7,0
Belgium,Lithuania,,Total population of concern,7,0
Belgium,Madagascar,,Total Refugee and people in refugee-like situations,0,0
Belgium,Madagascar,,Asylum-seekers,0,0
Belgium,Madagascar,,Total population of concern,7,0
Belgium,Mali,,Total Refugee and people in refugee-like situations,61,0
Belgium,Mali,,Asylum-seekers,58,0
Belgium,Mali,,Total population of concern,119,0
Belgium,Mauritania,,Total Refugee and people in refugee-like situations,206,0
Belgium,Mauritania,,Asylum-seekers,63,0
Belgium,Mauritania,,Total population of concern,269,0
Belgium,Mexico,,Asylum-seekers,0,0
Belgium,Mexico,,Total population of concern,0,0
Belgium,Mongolia,,Asylum-seekers,0,0
Belgium,Mongolia,,Total population of concern,0,0
Belgium,Montenegro,,Asylum-seekers,0,0
Belgium,Montenegro,,Total population of concern,0,0
Belgium,Morocco,,Total Refugee and people in refugee-like situations,70,0
Belgium,Morocco,,Asylum-seekers,112,0
Belgium,Morocco,,Total population of concern,182,0
Belgium,Myanmar,,Total Refugee and people in refugee-like situations,9,0
Belgium,Myanmar,,Total population of concern,9,0
Belgium,Namibia,,Total Refugee and people in refugee-like situations,0,0
Belgium,Namibia,,Total population of concern,0,0
Belgium,Nepal,,Total Refugee and people in refugee-like situations,13,0
Belgium,Nepal,,Asylum-seekers,34,0
Belgium,Nepal,,Total population of concern,47,0
Belgium,Netherlands,,Asylum-seekers,0,0
Belgium,Netherlands,,Total population of concern,0,0
Belgium,Niger,,Total Refugee and people in refugee-like situations,91,0
Belgium,Niger,,Asylum-seekers,70,0
Belgium,Niger,,Total population of concern,161,0
Belgium,Nigeria,,Total Refugee and people in refugee-like situations,43,0
Belgium,Nigeria,,Asylum-seekers,64,0
Belgium,Nigeria,,Total population of concern,107,0
Belgium,Pakistan,,Total Refugee and people in refugee-like situations,222,0
Belgium,Pakistan,,Asylum-seekers,161,0
Belgium,Pakistan,,Total population of concern,383,0
Belgium,Palestinian,,Total Refugee and people in refugee-like situations,117,0
Belgium,Palestinian,,Asylum-seekers,56,0
Belgium,Palestinian,,Total population of concern,173,0
Belgium,Peru,,Total Refugee and people in refugee-like situations,0,0
Belgium,Peru,,Asylum-seekers,0,0
Belgium,Peru,,Total population of concern,0,0
Belgium,Philippines,,Asylum-seekers,7,0
Belgium,Philippines,,Total population of concern,7,0
Belgium,Poland,,Total Refugee and people in refugee-like situations,154,0
Belgium,Poland,,Total population of concern,154,0
Belgium,Rep. of Moldova,,Total Refugee and people in refugee-like situations,0,0
Belgium,Rep. of Moldova,,Asylum-seekers,0,0
Belgium,Rep. of Moldova,,Total population of concern,6,0
Belgium,Romania,,Total Refugee and people in refugee-like situations,38,0
Belgium,Romania,,Asylum-seekers,0,0
Belgium,Romania,,Total population of concern,41,0
Belgium,Russian Federation,,Total Refugee and people in refugee-like situations,2558,0
Belgium,Russian Federation,,Asylum-seekers,550,0
Belgium,Russian Federation,,Total population of concern,3108,0
Belgium,Rwanda,,Total Refugee and people in refugee-like situations,803,0
Belgium,Rwanda,,Asylum-seekers,427,0
Belgium,Rwanda,,Total population of concern,1230,0
Belgium,Saudi Arabia,,Total Refugee and people in refugee-like situations,0,0
Belgium,Saudi Arabia,,Asylum-seekers,0,0
Belgium,Saudi Arabia,,Total population of concern,0,0
Belgium,Senegal,,Total Refugee and people in refugee-like situations,435,0
Belgium,Senegal,,Asylum-seekers,145,0
Belgium,Senegal,,Total population of concern,580,0
Belgium,Serbia and Kosovo: S/RES/1244 (1999),,Total Refugee and people in refugee-like situations,155,0
Belgium,Serbia and Kosovo: S/RES/1244 (1999),,Asylum-seekers,134,0
Belgium,Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,289,0
Belgium,Sierra Leone,,Total Refugee and people in refugee-like situations,26,0
Belgium,Sierra Leone,,Asylum-seekers,18,0
Belgium,Sierra Leone,,Total population of concern,44,0
Belgium,Singapore,,Asylum-seekers,0,0
Belgium,Singapore,,Total population of concern,0,0
Belgium,Somalia,,Total Refugee and people in refugee-like situations,1280,0
Belgium,Somalia,,Asylum-seekers,890,0
Belgium,Somalia,,Total population of concern,2170,0
Belgium,South Africa,,Total Refugee and people in refugee-like situations,0,0
Belgium,South Africa,,Asylum-seekers,0,0
Belgium,South Africa,,Total population of concern,5,0
Belgium,South Sudan,,Total Refugee and people in refugee-like situations,0,0
Belgium,South Sudan,,Asylum-seekers,0,0
Belgium,South Sudan,,Total population of concern,6,0
Belgium,Spain,,Total Refugee and people in refugee-like situations,0,0
Belgium,Spain,,Total population of concern,0,0
Belgium,Sri Lanka,,Total Refugee and people in refugee-like situations,394,0
Belgium,Sri Lanka,,Asylum-seekers,105,0
Belgium,Sri Lanka,,Total population of concern,499,0
Belgium,Stateless,,Asylum-seekers,31,0
Belgium,Stateless,,Persons under UNHCR's statelessness mandate,2630,0
Belgium,Stateless,,Total population of concern,2661,0
Belgium,Sudan,,Total Refugee and people in refugee-like situations,174,0
Belgium,Sudan,,Asylum-seekers,89,0
Belgium,Sudan,,Total population of concern,263,0
Belgium,Suriname,,Asylum-seekers,8,0
Belgium,Suriname,,Total population of concern,8,0
Belgium,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,9080,0
Belgium,Syrian Arab Rep.,,Asylum-seekers,1798,0
Belgium,Syrian Arab Rep.,,Total population of concern,10878,0
Belgium,Tajikistan,,Total Refugee and people in refugee-like situations,10,0
Belgium,Tajikistan,,Asylum-seekers,0,0
Belgium,Tajikistan,,Total population of concern,13,0
Belgium,The former Yugoslav Republic of Macedonia,,Total Refugee and people in refugee-like situations,113,0
Belgium,The former Yugoslav Republic of Macedonia,,Asylum-seekers,46,0
Belgium,The former Yugoslav Republic of Macedonia,,Total population of concern,159,0
Belgium,Togo,,Total Refugee and people in refugee-like situations,176,0
Belgium,Togo,,Asylum-seekers,87,0
Belgium,Togo,,Total population of concern,263,0
Belgium,Tunisia,,Total Refugee and people in refugee-like situations,37,0
Belgium,Tunisia,,Asylum-seekers,28,0
Belgium,Tunisia,,Total population of concern,65,0
Belgium,Turkey,,Total Refugee and people in refugee-like situations,587,0
Belgium,Turkey,,Asylum-seekers,824,0
Belgium,Turkey,,Total population of concern,1411,0
Belgium,Turkmenistan,,Total Refugee and people in refugee-like situations,0,0
Belgium,Turkmenistan,,Total population of concern,0,0
Belgium,Uganda,,Total Refugee and people in refugee-like situations,20,0
Belgium,Uganda,,Asylum-seekers,11,0
Belgium,Uganda,,Total population of concern,31,0
Belgium,Ukraine,,Total Refugee and people in refugee-like situations,166,0
Belgium,Ukraine,,Asylum-seekers,220,0
Belgium,Ukraine,,Total population of concern,386,0
Belgium,United Arab Emirates,,Total Refugee and people in refugee-like situations,0,0
Belgium,United Arab Emirates,,Total population of concern,0,0
Belgium,United Kingdom,,Asylum-seekers,0,0
Belgium,United Kingdom,,Total population of concern,0,0
Belgium,United Rep. of Tanzania,,Total Refugee and people in refugee-like situations,50,0
Belgium,United Rep. of Tanzania,,Asylum-seekers,11,0
Belgium,United Rep. of Tanzania,,Total population of concern,61,0
Belgium,Uruguay,,Total Refugee and people in refugee-like situations,0,0
Belgium,Uruguay,,Total population of concern,0,0
Belgium,Uzbekistan,,Total Refugee and people in refugee-like situations,32,0
Belgium,Uzbekistan,,Asylum-seekers,13,0
Belgium,Uzbekistan,,Total population of concern,45,0
Belgium,Various,,Total Refugee and people in refugee-like situations,7503,0
Belgium,Various,,Asylum-seekers,4295,0
Belgium,Various,,Total population of concern,11798,0
Belgium,Venezuela (Bolivarian Republic of),,Total Refugee and people in refugee-like situations,6,0
Belgium,Venezuela (Bolivarian Republic of),,Asylum-seekers,51,0
Belgium,Venezuela (Bolivarian Republic of),,Total population of concern,57,0
Belgium,Viet Nam,,Total Refugee and people in refugee-like situations,40,0
Belgium,Viet Nam,,Total population of concern,40,0
Belgium,Yemen,,Total Refugee and people in refugee-like situations,24,0
Belgium,Yemen,,Asylum-seekers,21,0
Belgium,Yemen,,Total population of concern,45,0
Belgium,Zambia,,Total Refugee and people in refugee-like situations,0,0
Belgium,Zambia,,Total population of concern,0,0
Belgium,Zimbabwe,,Total Refugee and people in refugee-like situations,0,0
Belgium,Zimbabwe,,Total population of concern,0,0
Belize,Colombia,,Asylum-seekers,0,0
Belize,Colombia,,Total population of concern,0,0
Belize,El Salvador,,Asylum-seekers,1659,1659
Belize,El Salvador,,Total population of concern,1659,1659
Belize,Guatemala,,Asylum-seekers,429,429
Belize,Guatemala,,Total population of concern,429,429
Belize,Haiti,,Asylum-seekers,0,0
Belize,Haiti,,Total population of concern,0,0
Belize,Honduras,,Asylum-seekers,564,564
Belize,Honduras,,Total population of concern,564,564
Belize,Jamaica,,Asylum-seekers,0,0
Belize,Jamaica,,Total population of concern,0,0
Belize,Nicaragua,,Asylum-seekers,5,5
Belize,Nicaragua,,Total population of concern,5,5
Belize,Pakistan,,Asylum-seekers,0,0
Belize,Pakistan,,Total population of concern,0,0
